,TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Hour,AmountToBalanceRatio,TransactionEfficiency,Cluster
17,492.93,2023-12-14 18:32:14,Debit,Columbus,Online,39,Engineer,234.0,1,5109.97,2024-11-04 08:11:51,18.0,0.0964454888211044,2.0975744680851065,0
18,18.680000000000007,2023-02-21 16:56:50,Credit,Albuquerque,Branch,59,Retired,106.0,1,7948.37,2024-11-04 08:12:01,16.0,0.002349871750843148,0.17457943925233632,0
19,71.48000000000002,2023-06-08 18:18:50,Credit,Columbus,Online,18,Student,169.0,1,6568.59,2024-11-04 08:09:20,18.0,0.010880435460964843,0.42047058823529415,0
20,59.31999999999999,2023-02-28 16:36:58,Debit,Los Angeles,Branch,71,Retired,38.0,1,5750.89,2024-11-04 08:09:24,16.0,0.010313131857528565,1.521025641025641,0
21,85.77,2023-08-11 18:31:31,Debit,Las Vegas,Branch,38,Doctor,93.0,1,9146.19,2024-11-04 08:08:13,18.0,0.009376650096915004,0.9124468085106383,0
22,52.19999999999999,2023-06-06 18:54:15,Debit,Atlanta,Online,39,Engineer,120.0,1,8974.93,2024-11-04 08:07:01,18.0,0.005815553374413571,0.431404958677686,0
23,345.84,2023-05-02 18:25:46,Debit,Fort Worth,Online,22,Student,142.0,3,1402.5000000000005,2024-11-04 08:07:04,18.0,0.24641254007837549,2.418461538461538,0
24,145.54,2023-03-02 16:43:56,Debit,Raleigh,Online,21,Student,96.0,1,1930.96,2024-11-04 08:07:09,16.0,0.07533282262572724,1.5004123711340205,0
25,7.489999999999981,2023-10-20 17:53:13,Credit,Houston,Online,65,Retired,276.0,1,3634.67,2024-11-04 08:09:44,17.0,0.0020601429722719583,0.027039711191335636,0
26,246.93,2023-04-17 16:37:01,Debit,Miami,ATM,23,Student,158.0,5,673.3499999999995,2024-11-04 08:11:38,16.0,0.36617483502632164,1.5530188679245283,0
27,40.32000000000002,2023-03-29 16:42:38,Debit,Milwaukee,Branch,37,Engineer,95.0,1,2686.52,2024-11-04 08:11:59,16.0,0.015002679049830325,0.41999999999999993,0
28,127.45,2023-01-24 16:18:32,Debit,Las Vegas,Online,44,Doctor,197.0,1,1772.06,2024-11-04 08:11:22,16.0,0.07188138021273956,0.6436868686868689,0
29,56.170000000000016,2023-09-20 16:55:42,Debit,Detroit,Branch,27,Student,283.0,1,1351.69,2024-11-04 08:08:30,16.0,0.04152466566619107,0.19778169014084512,0
30,28.310000000000002,2023-07-17 17:49:22,Credit,Miami,Online,59,Doctor,20.0,1,8334.47,2024-11-04 08:09:17,17.0,0.003396329181197942,1.348095238095238,0
31,59.120000000000005,2023-02-06 16:24:24,Debit,Baltimore,ATM,29,Doctor,257.0,1,9823.64,2024-11-04 08:06:58,16.0,0.006017523288385118,0.2291472868217055,0
32,396.45,2023-09-25 16:26:00,Debit,New York,ATM,49,Engineer,168.0,3,9690.15,2024-11-04 08:11:13,16.0,0.04090845771657647,2.3458579881656805,0
33,877.8100000000001,2023-03-13 17:23:24,Debit,Los Angeles,Online,22,Student,150.0,1,399.0,2024-11-04 08:07:50,17.0,2.194525,5.813311258278146,2
34,255.26,2023-10-27 16:42:49,Credit,San Francisco,Branch,45,Doctor,50.0,1,14815.87,2024-11-04 08:10:51,16.0,0.01722766009285362,5.005098039215686,0
35,124.76,2023-10-16 16:32:56,Debit,Seattle,Branch,49,Engineer,45.0,1,5764.72,2024-11-04 08:06:23,16.0,0.021638234253484386,2.7121739130434785,0
36,78.13,2023-11-21 16:58:44,Debit,Milwaukee,Branch,26,Student,145.0,1,900.6100000000001,2024-11-04 08:12:18,16.0,0.08665609298920819,0.53513698630137,0
37,649.28,2023-03-02 17:53:32,Debit,San Jose,ATM,75,Retired,137.0,1,4875.86,2024-11-04 08:11:15,17.0,0.13313484496171718,4.704927536231883,0
38,795.31,2023-10-12 17:07:40,Debit,Mesa,ATM,66,Doctor,90.0,2,7914.88,2024-11-04 08:11:17,17.0,0.10047019409086544,8.739670329670329,0
39,335.63,2023-01-24 17:17:20,Debit,Oklahoma City,Online,55,Retired,216.0,1,1019.3899999999999,2024-11-04 08:07:32,17.0,0.32892325483393603,1.5466820276497695,0
40,328.47,2023-07-31 18:39:50,Debit,San Antonio,ATM,63,Retired,119.0,1,4323.66,2024-11-04 08:07:31,18.0,0.07595279166454705,2.7372500000000004,0
41,34.02000000000001,2023-01-09 16:13:21,Debit,Philadelphia,Online,38,Doctor,19.0,1,14214.48,2024-11-04 08:11:45,16.0,0.0023931657601431663,1.701,0
42,241.42,2023-04-20 18:57:43,Credit,Charlotte,Online,57,Doctor,116.0,1,13357.02,2024-11-04 08:09:03,18.0,0.01807303777056779,2.0634188034188035,0
43,55.31999999999999,2023-04-12 16:03:37,Debit,Tucson,ATM,19,Student,117.0,1,241.78999999999996,2024-11-04 08:08:03,16.0,0.22785122945755593,0.46881355932203395,0
44,304.31,2023-07-26 16:52:28,Debit,Louisville,Branch,27,Student,33.0,1,868.6099999999997,2024-11-04 08:09:53,16.0,0.3499384781683743,8.95029411764706,0
45,435.27,2023-10-04 17:49:29,Debit,Chicago,Branch,74,Retired,90.0,1,4673.28,2024-11-04 08:11:12,17.0,0.09312022386335436,4.783186813186813,0
46,164.49,2023-12-13 16:01:38,Debit,Baltimore,Branch,26,Student,75.0,1,1509.27,2024-11-04 08:10:33,16.0,0.10891430009203654,2.164342105263158,0
47,510.24,2023-10-09 16:29:40,Debit,Oklahoma City,Online,19,Student,105.0,1,781.7000000000003,2024-11-04 08:11:35,16.0,0.651897278650824,4.8135849056603774,0
48,626.9,2023-11-27 16:45:57,Debit,Denver,Online,26,Student,138.0,1,265.5100000000002,2024-11-04 08:07:24,16.0,2.3522569509586884,4.510071942446043,2
49,22.00999999999999,2023-03-27 16:45:18,Credit,Sacramento,Online,41,Engineer,175.0,1,1335.0900000000001,2024-11-04 08:06:31,16.0,0.01647344116040088,0.12505681818181813,0
50,425.34,2023-02-13 16:59:39,Credit,Kansas City,Online,69,Retired,121.0,1,3907.54,2024-11-04 08:07:07,16.0,0.10882324346175298,3.486393442622951,0
51,424.55999999999995,2023-02-21 17:45:55,Debit,Omaha,Online,51,Engineer,264.0,1,5183.85,2024-11-04 08:09:02,17.0,0.08188472183380426,1.6021132075471698,0
52,85.43,2023-06-07 16:45:34,Debit,Virginia Beach,Branch,67,Doctor,145.0,1,14904.9,2024-11-04 08:06:45,16.0,0.005731287610946004,0.5851369863013698,0
53,169.5,2023-09-07 16:51:27,Debit,San Diego,Branch,28,Student,142.0,1,918.8800000000001,2024-11-04 08:08:58,16.0,0.184263164760621,1.1853146853146854,0
54,104.63,2023-03-29 17:47:16,Debit,Omaha,ATM,62,Retired,90.0,1,4477.78,2024-11-04 08:10:42,17.0,0.02336127248938327,1.1497802197802198,0
55,316.95,2023-08-04 17:53:40,Debit,Mesa,Branch,25,Student,83.0,1,1324.0299999999997,2024-11-04 08:09:15,17.0,0.2392021312724995,3.7732142857142854,0
56,60.53999999999999,2023-12-14 17:52:37,Credit,Columbus,Branch,57,Retired,52.0,1,3534.93,2024-11-04 08:09:57,17.0,0.01712137966532143,1.1422641509433962,0
57,292.56,2023-03-03 17:37:41,Credit,Dallas,Branch,68,Retired,61.0,1,4638.37,2024-11-04 08:07:49,17.0,0.06306028620265251,4.718709677419355,0
58,386.52,2023-06-09 16:18:15,Debit,Indianapolis,Branch,48,Engineer,28.0,1,5630.61,2024-11-04 08:07:09,16.0,0.068634014074128,13.328275862068965,0
59,112.07,2023-10-02 16:35:22,Debit,Kansas City,Branch,23,Student,51.0,1,930.3000000000002,2024-11-04 08:11:37,16.0,0.12033716310533663,2.1551923076923076,0
60,568.52,2023-10-06 18:44:37,Debit,Indianapolis,ATM,46,Engineer,152.0,1,5499.91,2024-11-04 08:06:25,18.0,0.1033501729713811,3.715816993464052,0
61,263.99,2023-05-16 16:07:30,Debit,Dallas,Branch,79,Retired,227.0,2,4175.02,2024-11-04 08:11:03,16.0,0.06321569341143002,1.1578508771929825,0
62,349.64,2023-11-07 16:48:23,Debit,Las Vegas,Online,48,Engineer,226.0,1,6651.62,2024-11-04 08:08:09,16.0,0.052556737044953714,1.5402643171806167,0
63,601.4,2023-05-30 17:43:25,Credit,Philadelphia,Branch,56,Engineer,104.0,1,8458.29,2024-11-04 08:08:01,17.0,0.07109343691964691,5.727619047619047,0
64,5.77000000000001,2023-11-02 16:01:40,Debit,Charlotte,Online,50,Doctor,124.0,1,13988.12,2024-11-04 08:11:32,16.0,0.0004124634001280991,0.04615999999999998,0
65,201.33,2023-03-29 17:00:31,Credit,Nashville,Branch,42,Engineer,186.0,1,2585.07,2024-11-04 08:11:41,17.0,0.07785172095109567,1.0766310160427808,0
66,298.42,2023-04-25 16:11:24,Debit,Indianapolis,Branch,56,Retired,225.0,1,3014.75,2024-11-04 08:10:12,16.0,0.09895382574815552,1.3204424778761064,0
67,521.06,2023-04-18 18:40:47,Debit,Albuquerque,Branch,25,Student,128.0,1,1951.42,2024-11-04 08:12:10,18.0,0.26687905266284917,4.03922480620155,0
68,117.28,2023-02-09 16:34:53,Credit,Austin,Online,60,Engineer,16.0,1,3665.77,2024-11-04 08:07:11,16.0,0.03198455316259269,6.898823529411764,0
69,189.12,2023-11-13 16:42:28,Credit,Indianapolis,Branch,32,Engineer,103.0,1,977.0100000000002,2024-11-04 08:08:42,16.0,0.1933722559074038,1.8184615384615386,0
70,133.55,2023-07-18 16:12:00,Debit,Atlanta,ATM,44,Engineer,220.0,1,3846.28,2024-11-04 08:10:18,16.0,0.03471283608159531,0.6042986425339367,0
71,143.21,2023-01-13 17:00:16,Debit,Dallas,Online,35,Engineer,135.0,1,6374.82,2024-11-04 08:09:26,17.0,0.02246142456970241,1.053014705882353,0
72,24.77000000000001,2023-07-04 18:20:33,Debit,Boston,ATM,62,Retired,54.99999999999999,1,5866.01,2024-11-04 08:12:15,18.0,0.004221912013103776,0.44232142857142853,0
73,233.92,2023-10-20 16:54:28,Credit,Jacksonville,Online,26,Student,280.0,1,6537.62,2024-11-04 08:08:45,16.0,0.03577513297913015,0.8324555160142348,0
74,913.49125,2023-10-04 16:36:29,Debit,Indianapolis,Branch,20,Student,24.0,1,605.9499999999998,2024-11-04 08:06:51,16.0,1.5050518988384545,36.53965,2
75,232.12,2023-12-28 17:31:03,Debit,Omaha,ATM,37,Engineer,51.0,1,6689.87,2024-11-04 08:09:17,17.0,0.03469205051062119,4.463846153846154,0
76,162.63,2023-06-12 17:53:52,Debit,Kansas City,Online,22,Student,113.0,1,634.1700000000001,2024-11-04 08:08:22,17.0,0.2560416896263992,1.426578947368421,0
77,91.53,2023-03-13 16:32:12,Debit,Milwaukee,Branch,44,Doctor,69.0,1,14676.05,2024-11-04 08:11:36,16.0,0.006236266824736582,1.3075714285714286,0
78,120.29,2023-12-18 18:46:27,Debit,Miami,Branch,19,Student,77.0,1,1362.3899999999999,2024-11-04 08:06:50,18.0,0.08822860663493204,1.5421794871794872,0
79,174.25,2023-07-17 18:54:31,Debit,Seattle,Online,50,Doctor,67.0,1,10528.34,2024-11-04 08:10:29,18.0,0.016548995473600434,2.5625,0
80,183.71,2023-06-19 18:22:10,Debit,Denver,ATM,38,Engineer,102.0,1,552.5200000000004,2024-11-04 08:09:51,18.0,0.33189405983523634,1.7835922330097087,0
81,345.39,2023-10-23 17:13:57,Credit,Phoenix,Online,58,Engineer,80.0,1,6451.96,2024-11-04 08:08:16,17.0,0.05352427413156133,4.264074074074074,0
82,913.49125,2023-01-23 16:32:48,Debit,Detroit,ATM,63,Retired,87.0,1,4715.84,2024-11-04 08:11:07,16.0,0.1936659394849094,10.380582386363637,0
83,259.91,2023-11-06 16:34:10,Debit,Denver,Online,49,Doctor,170.0,1,7176.86,2024-11-04 08:09:38,16.0,0.03620995672804987,1.5199415204678364,0
84,154.71,2023-07-03 16:40:24,Debit,San Diego,Online,34,Doctor,157.0,1,1523.7200000000003,2024-11-04 08:09:42,16.0,0.10146781048323628,0.9791772151898734,0
85,913.49125,2023-09-29 17:22:10,Credit,Austin,Online,54,Engineer,30.0,1,8654.28,2024-11-04 08:06:53,17.0,0.10554150183471822,29.467459677419356,0
86,24.560000000000002,2023-10-20 17:27:35,Debit,Mesa,Branch,64,Doctor,69.0,1,9869.93,2024-11-04 08:12:05,17.0,0.0024881140885407993,0.35085714285714276,0
87,568.07,2023-08-28 17:03:53,Debit,Washington,ATM,48,Doctor,115.0,1,10556.81,2024-11-04 08:07:32,17.0,0.05380566613720081,4.897155172413793,0
88,9.610000000000014,2023-06-22 18:37:29,Credit,San Diego,Online,58,Doctor,179.0,1,12883.91,2024-11-04 08:09:10,18.0,0.0007458336922803524,0.05338888888888893,0
89,392.9599999999999,2023-11-20 16:28:09,Debit,Kansas City,Online,24,Student,100.0,1,791.6500000000001,2024-11-04 08:08:38,16.0,0.49575474673563363,3.8906930693069306,0
90,716.93,2023-09-14 16:49:33,Credit,Milwaukee,Online,60,Retired,34.0,1,4064.02,2024-11-04 08:08:12,16.0,0.17636567593763375,20.483714285714285,0
91,223.85,2023-10-02 16:36:10,Debit,Kansas City,ATM,53,Engineer,54.99999999999999,4,2929.91,2024-11-04 08:08:01,16.0,0.07637559665769335,3.9973214285714285,0
92,230.66,2023-03-27 18:16:04,Debit,Houston,Branch,21,Student,135.0,1,618.0500000000002,2024-11-04 08:10:44,18.0,0.37260318229545275,1.696029411764706,0
93,442.12,2023-12-21 16:37:03,Debit,Los Angeles,Online,19,Student,260.0,1,1375.8000000000002,2024-11-04 08:08:21,16.0,0.32112144102266127,1.6939463601532567,0
94,644.17,2023-03-02 16:05:09,Debit,San Antonio,ATM,29,Engineer,72.0,1,1143.52,2024-11-04 08:08:04,16.0,0.5628298325935763,8.824246575342466,0
95,508.68,2023-06-26 16:16:50,Credit,Mesa,Branch,51,Engineer,127.0,1,7708.41,2024-11-04 08:09:32,16.0,0.06598170287998693,3.9740625,0
96,858.63,2023-04-18 17:27:23,Credit,San Francisco,Branch,27,Student,185.0,1,1872.96,2024-11-04 08:10:47,17.0,0.45819014279920595,4.616290322580645,0
97,25.359999999999985,2023-07-17 17:08:24,Debit,Louisville,ATM,57,Engineer,78.0,1,201.03999999999996,2024-11-04 08:11:05,17.0,0.1255196990694912,0.3210126582278481,0
98,147.62,2023-09-01 17:26:02,Debit,Charlotte,Branch,71,Retired,133.0,1,2115.8,2024-11-04 08:07:22,17.0,0.06973733938019652,1.1016417910447762,0
99,115.02,2023-09-11 16:19:04,Debit,San Antonio,Branch,37,Doctor,175.0,1,7643.66,2024-11-04 08:08:38,16.0,0.015045796673756578,0.6535227272727271,0
100,383.37,2023-01-24 17:23:56,Debit,Fort Worth,Branch,30,Engineer,24.0,1,8901.93,2024-11-04 08:11:07,17.0,0.04306110460264205,15.3348,0
101,98.54,2023-08-11 16:18:46,Credit,El Paso,Online,20,Student,167.0,1,9383.43,2024-11-04 08:10:02,16.0,0.010500371359794897,0.5865476190476191,0
102,83.23999999999998,2023-10-16 18:35:11,Credit,Fort Worth,Branch,55,Doctor,164.0,1,1181.31,2024-11-04 08:10:52,18.0,0.07040454703081256,0.5044848484848483,0
103,196.16,2023-02-24 16:29:23,Debit,Virginia Beach,Branch,27,Engineer,146.0,1,9418.86,2024-11-04 08:08:32,16.0,0.020824088680723492,1.334421768707483,0
104,129.94,2023-01-02 16:36:02,Debit,Las Vegas,ATM,32,Engineer,235.0,1,7954.92,2024-11-04 08:06:35,16.0,0.016332492031091314,0.5505932203389832,0
105,306.9,2023-11-30 16:31:03,Debit,Colorado Springs,Online,46,Engineer,51.0,1,9418.08,2024-11-04 08:10:48,16.0,0.03258280001868547,5.901923076923076,0
106,114.98,2023-11-01 16:52:01,Debit,Seattle,Online,59,Retired,80.0,1,6144.68,2024-11-04 08:09:24,16.0,0.01870907694510615,1.4195061728395062,0
107,756.59,2023-03-06 16:47:02,Debit,Sacramento,Branch,27,Student,17.0,1,420.64999999999964,2024-11-04 08:11:40,16.0,1.7943555081228508,42.03277777777778,2
108,503.76,2023-11-27 18:32:49,Debit,Los Angeles,Online,22,Student,35.0,1,447.8199999999997,2024-11-04 08:09:22,18.0,1.1224098747827638,13.993333333333332,0
109,143.03,2023-07-31 16:37:46,Debit,San Antonio,ATM,63,Retired,147.0,1,7981.45,2024-11-04 08:10:42,16.0,0.0179180577391653,0.9664189189189188,0
110,913.49125,2023-11-22 16:13:39,Debit,Columbus,ATM,53,Retired,73.0,1,1829.9,2024-11-04 08:07:35,16.0,0.4989301709541755,12.344476351351352,0
111,245.54,2023-03-21 16:29:31,Debit,New York,ATM,25,Student,180.0,1,985.06,2024-11-04 08:10:26,16.0,0.2490112163560027,1.356574585635359,0
112,254.37,2023-04-20 18:26:50,Credit,Dallas,Online,51,Engineer,174.0,1,8849.26,2024-11-04 08:06:56,18.0,0.02874152849746787,1.4535428571428572,0
113,213.76,2023-03-01 17:52:14,Credit,Dallas,ATM,78,Retired,282.0,1,3528.72,2024-11-04 08:09:36,17.0,0.06056004442278708,0.7553356890459364,0
114,327.86,2023-02-10 16:52:48,Debit,Fresno,Online,40,Engineer,104.0,1,480.15999999999985,2024-11-04 08:06:30,16.0,0.6813949621747444,3.1224761904761906,0
115,2.5,2023-07-21 16:43:11,Debit,San Diego,Online,47,Doctor,107.0,1,12145.27,2024-11-04 08:09:53,16.0,0.00020582450414818876,0.02314814814814814,0
116,300.08,2023-10-09 17:02:43,Credit,Austin,Online,68,Doctor,47.0,1,13546.75,2024-11-04 08:12:18,17.0,0.022149803472901405,6.251666666666665,0
117,56.97999999999999,2024-01-01 16:34:10,Credit,Oklahoma City,ATM,43,Engineer,122.0,2,5688.37,2024-11-04 08:07:42,16.0,0.010015168639058457,0.4632520325203251,0
118,407.65,2023-07-07 16:11:38,Debit,Boston,Online,26,Engineer,62.00000000000001,1,8346.64,2024-11-04 08:06:30,16.0,0.04883416151151703,6.47063492063492,0
119,115.83,2023-05-22 17:09:52,Debit,Fresno,Branch,39,Engineer,167.0,1,6481.04,2024-11-04 08:10:02,17.0,0.01786937445618972,0.6894642857142856,0
120,53.56999999999999,2023-08-16 16:17:12,Debit,Houston,ATM,69,Retired,121.0,1,1651.33,2024-11-04 08:08:43,16.0,0.03242088444802189,0.4390983606557377,0
121,63.34,2023-11-17 16:02:02,Credit,Detroit,Online,46,Doctor,165.0,1,11174.940000000002,2024-11-04 08:10:13,16.0,0.005667532216529443,0.38156626506024094,0
122,317.87,2023-05-22 17:29:35,Debit,Detroit,Online,27,Student,91.0,1,145.5,2024-11-04 08:11:32,17.0,2.169761092150171,3.455108695652174,2
123,331.65,2023-08-25 17:26:07,Debit,Portland,Online,41,Engineer,61.0,1,4172.57,2024-11-04 08:11:00,17.0,0.07946434347572941,5.349193548387096,0
124,5.039999999999992,2023-11-27 16:38:34,Debit,Washington,ATM,56,Retired,41.0,1,5558.36,2024-11-04 08:10:48,16.0,0.0009065791745812499,0.1200000000000001,0
125,214.54,2023-08-04 17:46:44,Credit,Detroit,Online,70,Doctor,247.0,1,11151.53,2024-11-04 08:11:56,17.0,0.01923689064275101,0.8650806451612902,0
126,598.81,2023-09-04 16:48:35,Debit,Philadelphia,Branch,57,Doctor,158.0,1,1415.52,2024-11-04 08:10:13,16.0,0.42273317708186253,3.7661006289308174,0
127,841.28,2023-08-09 17:34:26,Debit,Tucson,Online,26,Student,80.0,1,1103.6400000000003,2024-11-04 08:09:58,17.0,0.761587485515643,10.386172839506173,0
128,38.150000000000006,2023-09-07 16:07:40,Debit,Mesa,Online,26,Student,108.0,1,303.6800000000003,2024-11-04 08:07:42,16.0,0.12521333858474465,0.3500000000000001,0
129,913.49125,2023-07-11 16:39:53,Debit,San Antonio,Branch,58,Doctor,144.0,1,5541.57,2024-11-04 08:09:24,16.0,0.1648136604499357,6.299939655172414,0
130,124.72,2023-07-03 17:14:07,Debit,Oklahoma City,Branch,33,Engineer,105.0,1,6309.8,2024-11-04 08:07:25,17.0,0.019762946060721306,1.1766037735849058,0
131,302.45,2023-09-25 17:13:36,Credit,San Antonio,Branch,78,Retired,40.0,1,5133.61,2024-11-04 08:11:55,17.0,0.05890418162236275,7.376829268292683,0
132,208.04,2023-11-20 17:10:02,Debit,Louisville,Online,47,Engineer,273.0,1,9344.98,2024-11-04 08:08:45,17.0,0.022259837919618917,0.7592700729927007,0
133,5.77000000000001,2023-11-17 17:27:07,Credit,Los Angeles,Branch,23,Student,254.0,1,1117.9699999999998,2024-11-04 08:10:53,17.0,0.0051565278783166635,0.022627450980392094,0
134,381.33,2023-08-21 16:46:05,Debit,Albuquerque,ATM,56,Doctor,75.0,1,11835.350000000002,2024-11-04 08:09:32,16.0,0.032216857392692845,5.0175,0
135,16.159999999999997,2023-10-16 16:59:36,Debit,Milwaukee,ATM,50,Doctor,124.0,1,14401.17,2024-11-04 08:11:59,16.0,0.0011220531350484009,0.12928000000000006,0
136,486.08,2023-06-20 17:21:50,Debit,Oklahoma City,Online,18,Student,68.0,1,1748.69,2024-11-04 08:07:03,17.0,0.27780921191753966,7.04463768115942,0
137,336.39,2023-01-16 16:53:38,Debit,San Antonio,Branch,21,Student,18.0,1,1000.46,2024-11-04 08:09:57,16.0,0.3358995866035588,17.704736842105262,0
138,913.49125,2023-11-22 16:07:19,Debit,Seattle,Online,69,Doctor,118.0,1,6810.05,2024-11-04 08:08:25,16.0,0.13411900514604944,7.676397058823529,0
139,234.57,2023-09-01 16:09:08,Debit,Chicago,Online,23,Student,120.0,1,263.97999999999956,2024-11-04 08:08:47,16.0,0.8852366216318212,1.938595041322314,0
140,6.0,2023-10-23 18:38:15,Debit,Chicago,Online,30,Doctor,246.0,1,5442.76,2024-11-04 08:09:43,18.0,0.0011021793760195159,0.02429149797570851,0
141,913.49125,2023-10-23 16:50:33,Debit,Detroit,ATM,80,Retired,21.0,1,2037.85,2024-11-04 08:10:34,16.0,0.4480424013537043,41.52232954545455,0
142,227.14,2023-07-03 17:42:08,Debit,Charlotte,ATM,18,Student,294.0,1,341.9399999999996,2024-11-04 08:11:34,17.0,0.6623316031958942,0.7699661016949153,0
143,233.74,2023-10-24 16:41:00,Credit,Oklahoma City,Online,66,Retired,17.0,1,1066.5900000000001,2024-11-04 08:11:17,16.0,0.21894172856620991,12.985555555555557,0
144,113.02,2023-09-25 16:54:22,Credit,Jacksonville,Branch,69,Retired,166.0,1,6077.96,2024-11-04 08:07:21,16.0,0.018591995999315672,0.6767664670658684,0
145,45.849999999999994,2023-02-16 17:57:10,Debit,Los Angeles,ATM,20,Student,92.0,1,1659.15,2024-11-04 08:07:24,17.0,0.027617986326536757,0.4930107526881722,0
146,913.49125,2023-08-30 17:23:20,Debit,Sacramento,Branch,77,Retired,296.0,1,2042.2200000000003,2024-11-04 08:11:44,17.0,0.44708413680367265,3.075728114478115,0
147,514.95,2023-04-13 18:37:48,Debit,New York,Online,41,Doctor,142.0,5,421.9300000000003,2024-11-04 08:10:01,18.0,1.217577376870877,3.601048951048951,0
148,415.5,2023-07-28 16:29:23,Debit,Memphis,ATM,66,Doctor,141.0,1,10113.66,2024-11-04 08:10:23,16.0,0.04107898831992376,2.926056338028169,0
149,265.76,2023-02-06 17:48:55,Debit,Philadelphia,Online,54,Retired,92.0,1,4446.17,2024-11-04 08:12:18,17.0,0.05975935257703213,2.8576344086021503,0
150,69.4,2023-07-24 18:08:43,Debit,Virginia Beach,Online,80,Retired,113.0,1,6452.77,2024-11-04 08:09:04,18.0,0.010753404599172268,0.6087719298245613,0
151,332.93,2023-11-20 16:29:48,Credit,Albuquerque,Branch,35,Engineer,293.0,1,2788.2,2024-11-04 08:08:14,16.0,0.11936397533342895,1.1324149659863947,0
152,267.9,2023-10-09 16:52:47,Debit,San Antonio,Online,20,Student,160.0,1,596.1599999999999,2024-11-04 08:08:34,16.0,0.4486234844932681,1.663975155279503,0
153,496.03,2023-11-03 16:45:52,Debit,San Francisco,Branch,61,Doctor,265.0,1,12904.66,2024-11-04 08:09:41,16.0,0.03843507422324778,1.8647744360902254,0
154,376.26,2023-02-15 16:41:11,Debit,Tucson,ATM,37,Engineer,245.0,1,9062.4,2024-11-04 08:09:58,16.0,0.04151422203588057,1.5295121951219512,0
155,83.01999999999998,2023-09-04 17:59:51,Credit,Seattle,Online,36,Engineer,171.0,1,9009.56,2024-11-04 08:11:01,17.0,0.009213633780808292,0.4826744186046512,0
